District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
Kanpur Dehat,Total,100,55.2,8.1,27
Kanpur Dehat,Urban,100,39.5,5.9,66.3
Kanpur Nagar,Rural,100,58.8,6.9,23.6
Kanpur Nagar,Total,100,45.8,5.6,63.3
Kanpur Nagar,Urban,100,38.7,4.8,85.2
Jalaun,Rural,100,57.3,2.9,28.3
Jalaun,Total,100,53.4,3.1,39.9
Jalaun,Urban,100,41.1,3.5,75.6
Jhansi,Rural,100,47.4,2,20.7
Jhansi,Total,100,41.6,1.9,41.1
Jhansi,Urban,100,32.9,1.9,71.6
Lalitpur,Rural,100,52.8,2.7,12
Lalitpur,Total,100,50.4,2.7,19.4
Lalitpur,Urban,100,36.2,2.6,62.9
Hamirpur,Rural,100,50.5,1.5,25
Hamirpur,Total,100,48.1,1.5,32.8
Hamirpur,Urban,100,37.1,1.6,68.7
Mahoba,Rural,100,50.7,1.7,17.8
Mahoba,Total,100,50.2,1.7,25.5
Mahoba,Urban,100,48.7,1.6,54.7
Banda,Rural,100,52.9,1.1,20
Banda,Total,100,50.2,1.2,28.1
Banda,Urban,100,35.2,1.7,73.5
Chitrakoot,Rural,100,52.5,1.8,11.8
Chitrakoot,Total,100,51.9,1.9,16.5
Chitrakoot,Urban,100,46.7,2.7,58.7
Fatehpur,Rural,100,57.4,5.7,18.3
Fatehpur,Total,100,55.4,5.5,24.7
Fatehpur,Urban,100,40.9,4.3,72.1
Pratapgarh,Rural,100,44.7,6.3,11.3
Pratapgarh,Total,100,44,6.1,14
Pratapgarh,Urban,100,31.7,3,64.1
Kaushambi,Rural,100,55.2,4.4,13.8
Kaushambi,Total,100,54.2,4.4,16.7
Kaushambi,Urban,100,42.9,4.4,51.4
Allahabad,Rural,100,48.8,4.6,15.6
Allahabad,Total,100,44.7,4.2,31
Allahabad,Urban,100,30.5,2.9,84
Bara Banki,Rural,100,50.9,11.9,13.2
Bara Banki,Total,100,49.8,11.6,18.3
Bara Banki,Urban,100,39.5,8.8,67.8
Faizabad,Rural,100,51.4,9.3,14.5
Faizabad,Total,100,49.3,8.7,22.7
Faizabad,Urban,100,36.1,4.9,76.2
Ambedkar Nagar,Rural,100,46.4,9.9,13.9
Ambedkar Nagar,Total,100,45.9,9.9,18.6
Ambedkar Nagar,Urban,100,42,9.8,54.4
Sultanpur,Rural,100,49.8,8.6,13.1
Sultanpur,Total,100,48.8,8.4,16.2
Sultanpur,Urban,100,29.7,4.4,72.9
Bahraich,Rural,100,61.7,8.6,10.5
Bahraich,Total,100,60.2,8.4,15.7
Bahraich,Urban,100,42,5.7,79.5
Shrawasti,Rural,100,56.2,6.8,10.4
Shrawasti,Total,100,55.6,6.9,12
Shrawasti,Urban,100,37.5,10,63
Balrampur,Rural,100,56.7,6.7,10.2
Balrampur,Total,100,55.5,6.5,15
Balrampur,Urban,100,40.5,4.1,71.9
Gonda,Rural,100,51.1,11.3,7.9
Gonda,Total,100,49.9,10.9,12.5
Gonda,Urban,100,32.5,4.4,77.1
Siddharthnagar,Rural,100,44.8,6.6,10.4
Siddharthnagar,Total,100,44.2,6.5,12.7
Siddharthnagar,Urban,100,35.4,5.2,46.9
Basti,Rural,100,40.3,10,13.1
Basti,Total,100,40.1,9.8,16.4
Basti,Urban,100,35.7,6.8,72.1
Sant Kabir Nagar,Rural,100,43.4,10.2,12.3
Sant Kabir Nagar,Total,100,43,9.9,15
Sant Kabir Nagar,Urban,100,37.9,6.4,49.7
Mahrajganj,Rural,100,51.4,8.8,16.7
Mahrajganj,Total,100,50.8,8.7,18.8
Mahrajganj,Urban,100,39.3,5.8,58.4
Gorakhpur,Rural,100,46.8,8.9,18.6
Gorakhpur,Total,100,43.8,7.9,30.7
Gorakhpur,Urban,100,31.6,3.7,80.4
Kushinagar,Rural,100,55.9,8.5,14.8
Kushinagar,Total,100,55.1,8.5,17
Kushinagar,Urban,100,38.7,9.4,62.3
Deoria,Rural,100,46.5,8.5,16.7
Deoria,Total,100,45.3,8.3,21.2
Deoria,Urban,100,33.6,6.6,62.4
Azamgarh,Rural,100,48.3,9,16.8
Azamgarh,Total,100,47.4,8.7,20.5
Azamgarh,Urban,100,37.4,4.8,64.6
Mau,Rural,100,47.2,10.1,17.6
Mau,Total,100,46.5,9.4,27.4
Mau,Urban,100,44.1,6.8,63.5
Ballia,Rural,100,47.7,12.8,22.2
Ballia,Total,100,46.6,12.4,25.9
Ballia,Urban,100,36.1,9.3,61
Jaunpur,Rural,100,46.1,7.2,15.4
Jaunpur,Total,100,46,7,19.8
Jaunpur,Urban,100,44.5,4.4,71.8
Ghazipur,Rural,100,51.2,10.4,18.6
Ghazipur,Total,100,50.2,10.2,22.1
Ghazipur,Urban,100,38.4,7.3,65.5
Chandauli,Rural,100,49,6.8,18.8
Chandauli,Total,100,47.5,6.6,25.3
Chandauli,Urban,100,36.8,4.6,69.2
Varanasi,Rural,100,47.6,6.7,27.1
Varanasi,Total,100,42.4,5.3,54.5
Varanasi,Urban,100,35.8,3.5,89
Sant Ravidas Nagar (Bhadohi),Rural,100,47.7,6.2,12.6
Sant Ravidas Nagar (Bhadohi),Total,100,47.2,6.1,18.8
Sant Ravidas Nagar (Bhadohi),Urban,100,44,5.7,55.6
Mirzapur,Rural,100,51.6,4.8,19.2
Mirzapur,Total,100,50.1,4.6,26.2
Mirzapur,Urban,100,40.7,3.5,68.5
Sonbhadra,Rural,100,55.8,1.8,13.7
Sonbhadra,Total,100,51.9,2.3,24.1
Sonbhadra,Urban,100,34.4,4.7,70.7
Etah,Rural,100,56.6,7,9.2
Etah,Total,100,54.6,6.4,19.8
Etah,Urban,100,43.4,3.1,78.3
Kanshiram Nagar,Rural,100,61.5,8.9,11.2
Kanshiram Nagar,Total,100,59.3,8,24
Kanshiram Nagar,Urban,100,50.1,4.4,76.9
Pashchim Champaran,Rural,100,63.3,4.9,11.5
Pashchim Champaran,Total,100,62.1,5.2,15.9
Pashchim Champaran,Urban,100,51.9,7.4,53.9
Purba Champaran,Rural,100,56,5.6,15.5
Purba Champaran,Total,100,55.1,5.6,18.2
Purba Champaran,Urban,100,42.9,5.7,54
Sheohar,Rural,100,59.6,3.4,19.8
Sheohar,Total,100,59,3.6,20.4
Sheohar,Urban,100,45,8,36.9
Sitamarhi,Rural,100,58.7,6.2,18.7
Sitamarhi,Total,100,57.9,6.2,20.8
Sitamarhi,Urban,100,41.8,6.5,60.5
Madhubani,Rural,100,50.8,4.7,17.3
Madhubani,Total,100,50.5,4.8,18.5
Madhubani,Urban,100,42.7,7.1,55.5
Supaul,Rural,100,62.1,4.9,9.1
Supaul,Total,100,61.7,5,10.8
Supaul,Urban,100,51.8,7.8,46.8
Araria,Rural,100,64.4,3.7,6.7
Araria,Total,100,63.5,3.8,9.4
Araria,Urban,100,48.5,6.4,54.3
Kishanganj,Rural,100,62.2,3.5,6.2
Kishanganj,Total,100,60.8,3.9,10.4
Kishanganj,Urban,100,46.4,7.9,51.9
Purnia,Rural,100,65.1,5.1,8.6
Purnia,Total,100,63.2,5.5,13.7
Purnia,Urban,100,46.1,9.7,59.1
Katihar,Rural,100,62,5,12.7
Katihar,Total,100,60.3,5.1,17.5
Katihar,Urban,100,42.3,7.1,68.5
Madhepura,Rural,100,64,6.2,11.3
Madhepura,Total,100,63.2,6.3,13.1
Madhepura,Urban,100,45.9,8.7,51.3
Saharsa,Rural,100,64.3,6.6,12.5
Saharsa,Total,100,62.7,6.7,16.7
Saharsa,Urban,100,43.1,7.4,67.6
Darbhanga,Rural,100,52.8,8.1,20.9
Darbhanga,Total,100,51.6,8.2,25.1
Darbhanga,Urban,100,40,9,67
Muzaffarpur,Rural,100,60.4,8.4,21.9
Muzaffarpur,Total,100,58.1,8.3,27.1
Muzaffarpur,Urban,100,36.2,6.8,77.1
Gopalganj,Rural,100,53.1,8,18.1
Gopalganj,Total,100,52.3,7.9,20
Gopalganj,Urban,100,39.6,6.1,50.8
Siwan,Rural,100,46.6,8.2,20.2
Siwan,Total,100,46,8.1,22.9
Siwan,Urban,100,34.4,6.1,71.4
Saran,Rural,100,51.4,8.7,17.8
Saran,Total,100,50.6,8.6,21.4
Saran,Urban,100,41.5,7.9,59
Vaishali,Rural,100,56.9,12.3,25
Vaishali,Total,100,56.1,12.2,27.2
Vaishali,Urban,100,44.6,10.6,62
Samastipur,Rural,100,59.2,9.7,17
Samastipur,Total,100,58.5,9.6,18.8
Samastipur,Urban,100,38.6,6.5,70.2
Begusarai,Rural,100,57.1,11.6,25.5
Begusarai,Total,100,54.6,11.3,31.3
Begusarai,Urban,100,43.5,9.8,57.7
Khagaria,Rural,100,58.8,8.9,21.7
Khagaria,Total,100,58.3,8.9,23.8
Khagaria,Urban,100,47.3,7.2,66.3
Bhagalpur,Rural,100,58.8,8.8,25.1
Bhagalpur,Total,100,55.9,8.6,33.7
Bhagalpur,Urban,100,42.8,7.7,71.7
Banka,Rural,100,60.5,6.8,11.1
Banka,Total,100,60.1,6.7,12.3
Banka,Urban,100,46.9,5.1,44.8
Munger,Rural,100,58.6,7.9,26.1
Munger,Total,100,53.5,7.6,38.8
Munger,Urban,100,39.2,6.7,74.2
Lakhisarai,Rural,100,58.9,7.7,26.8
Lakhisarai,Total,100,57.9,7.8,31.8
Lakhisarai,Urban,100,52.3,8.4,61.6
Sheikhpura,Rural,100,60,9.4,24.3
Sheikhpura,Total,100,57.5,9.1,28.9
Sheikhpura,Urban,100,44.7,7.4,52.2
Nalanda,Rural,100,59.6,9.5,22.8
Nalanda,Total,100,56.8,9.2,30.7
Nalanda,Urban,100,41.8,7.1,73.6
Patna,Rural,100,58.4,9.1,27.6
Patna,Total,100,46.6,7.4,53
Patna,Urban,100,31,5.2,86.5
Bhojpur,Rural,100,57.8,8.7,20.5
Bhojpur,Total,100,55.5,8.6,27.2
Bhojpur,Urban,100,41.1,8.2,68.6
Buxar,Rural,100,56.8,10.5,20
Buxar,Total,100,55.1,10.3,24.7
Buxar,Urban,100,39.6,8.8,67.2
Kaimur (Bhabua),Rural,100,60.3,6.5,14.5
Kaimur (Bhabua),Total,100,59.2,6.4,16.7
Kaimur (Bhabua),Urban,100,33.5,4.6,70.2
Rohtas,Rural,100,57.7,6.4,21.1
Rohtas,Total,100,55.3,6.3,28.2
Rohtas,Urban,100,41.8,5.9,68.4
Aurangabad,Rural,100,57.8,6.6,17.2
Aurangabad,Total,100,56.3,6.5,21.8
Aurangabad,Urban,100,41.1,5.4,68
Gaya,Rural,100,62.8,7.9,16.5
Gaya,Total,100,59.4,7.5,24.2
Gaya,Urban,100,36,4.7,77.8
Nawada,Rural,100,62.3,10.3,17.3
Nawada,Total,100,60.2,9.9,22.3
Nawada,Urban,100,39.7,6.4,69.3
Jamui,Rural,100,64.2,8,11.9
Jamui,Total,100,63,8,14.8
Jamui,Urban,100,48.9,8.5,48.9
Jehanabad,Rural,100,61.2,9.1,22.3
Jehanabad,Total,100,58.5,8.8,27.8
Jehanabad,Urban,100,39.2,6.9,67.7
Arwal,Rural,100,61.9,7.8,22.5
Arwal,Total,100,61.2,7.7,23.7
Arwal,Urban,100,51.7,6.1,39
North  District,Rural,100,45.3,3.7,75
North  District,Total,100,42.7,3.5,77.4
North  District,Urban,100,20.3,1.8,97.3
West District,Rural,100,51.6,7.9,84.1
West District,Total,100,50.2,7.8,84.3
West District,Urban,100,15.4,6.6,89.3
South District,Rural,100,45.3,5.9,84.9
South District,Total,100,40.5,5.1,86.9
South District,Urban,100,15.3,0.9,97.9
East District,Rural,100,41.6,7.5,85.8
East District,Total,100,30.6,4.8,90.1
East District,Urban,100,18.4,1.7,94.9
Tawang,Rural,100,46.9,4.1,69.4
Tawang,Total,100,43.2,3.5,74.1
Tawang,Urban,100,25,0.6,97.5
West Kameng,Rural,100,48.3,2.5,38.9
West Kameng,Total,100,46.8,2.6,50.3
West Kameng,Urban,100,41.7,3,87.4
East Kameng,Rural,100,58.2,2.6,22
East Kameng,Total,100,55.6,2.5,32.2
East Kameng,Urban,100,47.3,2.5,64
Papum Pare,Rural,100,44.3,4,54.8
Papum Pare,Total,100,36.6,3.7,76.8
Papum Pare,Urban,100,31.4,3.5,91.7
Upper Subansiri,Rural,100,62.9,2.5,34.4
Upper Subansiri,Total,100,58.9,2.3,42.8
Upper Subansiri,Urban,100,38.5,1.2,85.1
West Siang,Rural,100,41.2,0.8,71.1
West Siang,Total,100,38.4,1.1,77.2
West Siang,Urban,100,30,2.1,95.6
East Siang,Rural,100,28,1.5,47.4
East Siang,Total,100,37.2,2.4,61.5
East Siang,Urban,100,56.4,4.3,90.7
Upper Siang,Rural,100,29.2,0.4,56.3
Upper Siang,Total,100,33.1,0.6,61.4
Upper Siang,Urban,100,47.5,1.1,80.2
Changlang,Rural,100,49.8,1.7,65.3
Changlang,Total,100,48.2,1.6,69
Changlang,Urban,100,38.3,0.8,91.3
Tirap,Rural,100,43.3,1,85.6
Tirap,Total,100,44.1,1.1,86.9
Tirap,Urban,100,47.2,1.5,91.9
Lower Subansiri,Rural,100,40.2,1.5,68.1
Lower Subansiri,Total,100,37,1.3,74.2
Lower Subansiri,Urban,100,24.5,0.7,98.5
Kurung Kumey,Rural,100,44.7,12.5,23.5
Kurung Kumey,Total,100,44.8,12.3,25.5
Kurung Kumey,Urban,100,49.7,5.1,80.6
Dibang Valley,Rural,100,49.7,7.2,64.7
Dibang Valley,Total,100,49.4,6.7,70.1
Dibang Valley,Urban,100,48.8,5.6,82.2
Lower Dibang Valley,Rural,100,52.7,3.2,48
Lower Dibang Valley,Total,100,48.5,3.3,56.4
Lower Dibang Valley,Urban,100,32.3,3.7,88.6
Lohit,Rural,100,54.1,6,49.5
Lohit,Total,100,52.4,5.4,58.9
Lohit,Urban,100,46.7,3.6,89.2
Anjaw,Rural,100,52.8,6,27.7
Anjaw,Total,100,53.3,5.8,28.7
Anjaw,Urban,100,68.3,0,64.2
Mon,Rural,100,64,1.4,62.7
Mon,Total,100,61.9,2,66.9
Mon,Urban,100,48.7,5.6,94.2
Mokokchung,Rural,100,34.1,0.5,96.3
Mokokchung,Total,100,33.8,0.6,97
Mokokchung,Urban,100,33,0.7,98.5
Zunheboto,Rural,100,44.2,1.7,71.7
Zunheboto,Total,100,42.9,1.5,75.4
Zunheboto,Urban,100,36.1,0.2,94.4
Wokha,Rural,100,51.6,1,59.5
Wokha,Total,100,46,0.9,66.5
Wokha,Urban,100,21.7,0.2,96.7
Dimapur,Rural,100,44.7,3.2,91.6
Dimapur,Total,100,39.3,2.6,94.4
Dimapur,Urban,100,34.6,2.1,96.8
Phek,Rural,100,54.4,2.4,75.4
Phek,Total,100,52.4,2.1,77.8
Phek,Urban,100,38.9,0.4,93.6
Tuensang,Rural,100,55,3.4,49.8
Tuensang,Total,100,54.8,3.4,56.6
Tuensang,Urban,100,53.9,3.1,88.8
Longleng,Rural,100,66.1,2.2,69
Longleng,Total,100,65.8,2.7,69.9
Longleng,Urban,100,63.7,5.6,75.7
Kiphire,Rural,100,57.2,1,36.6
Kiphire,Total,100,51.5,0.9,48.1
Kiphire,Urban,100,27.8,0.4,95.3
Kohima,Rural,100,33.6,0.6,52.2
Kohima,Total,100,32.8,1.2,71.8
Kohima,Urban,100,31.9,1.9,92
Peren,Rural,100,53,0.9,77.1
Peren,Total,100,54.2,1.1,79.5
Peren,Urban,100,61.1,2.1,92.9
Senapati,Rural,100,59.7,2.2,72.5
Senapati,Total,100,59.7,2.1,73
Senapati,Urban,100,63.4,1.8,97.6
Tamenglong,Rural,100,56.6,8.4,66.4
Tamenglong,Total,100,56.3,8.6,70.6
Tamenglong,Urban,100,54.7,10.4,96.7
Churachandpur,Rural,100,53.6,2.3,82.3
Churachandpur,Total,100,53.5,2.3,83.4
Churachandpur,Urban,100,52.5,2.3,98.8
Bishnupur,Rural,100,34.7,5.9,91.1
Bishnupur,Total,100,33,5.2,92.3
Bishnupur,Urban,100,30.1,4.1,94.4
Thoubal,Rural,100,33.5,5.5,91.7
Thoubal,Total,100,31.1,5.4,92.6
Thoubal,Urban,100,26.8,5.2,94.1
Imphal West,Rural,100,33.1,5.3,92
Imphal West,Total,100,31.5,4.7,94.9
Imphal West,Urban,100,30.5,4.4,96.7
Imphal East,Rural,100,36.4,4.6,90.9
Imphal East,Total,100,34.4,4,92.8
Imphal East,Urban,100,31.5,3.2,95.5
Ukhrul,Rural,100,70.4,5.2,80.4
Ukhrul,Total,100,68.5,5,82.6
Ukhrul,Urban,100,56.4,4.2,96.1
Chandel,Rural,100,58.4,4.1,77.1
Chandel,Total,100,56.4,5.4,79.3
Chandel,Urban,100,40.7,15.6,96.9
Mamit,Rural,100,49.7,5.9,83.1
Mamit,Total,100,44.5,5,85.9
Mamit,Urban,100,21.4,1,98.7
Kolasib,Rural,100,47.1,2.2,95.7
Kolasib,Total,100,42.3,2.3,96.2
Kolasib,Urban,100,38.5,2.4,96.6
Aizawl,Rural,100,34.6,1.7,97.4
Aizawl,Total,100,20.4,0.9,98.9
Aizawl,Urban,100,16.6,0.7,99.3
Champhai,Rural,100,48.2,4.8,94.9
Champhai,Total,100,46.7,3.5,95.9
Champhai,Urban,100,44.4,1.5,97.4
Serchhip,Rural,100,52,6.2,96.4
Serchhip,Total,100,49.3,7.9,97.9
Serchhip,Urban,100,46.6,9.6,99.4
Lunglei,Rural,100,49.8,3.9,80.5
Lunglei,Total,100,40,2.6,87.6
Lunglei,Urban,100,26.8,0.8,97.2
Lawngtlai,Rural,100,49.7,5.2,60.5
Lawngtlai,Total,100,47.1,4.6,66.9
Lawngtlai,Urban,100,34.6,1.6,98.3
Saiha,Rural,100,32.4,5.2,87
Saiha,Total,100,30.9,4,91.5
Saiha,Urban,100,28.7,2.3,97.6
West Tripura,Rural,100,41.4,4,85.2
West Tripura,Total,100,37.6,3.8,90.5
West Tripura,Urban,100,32.2,3.6,98.1
South Tripura,Rural,100,42.9,4.5,82.6
South Tripura,Total,100,40.5,4.4,85
South Tripura,Urban,100,27.4,3.6,98
Dhalai,Rural,100,47.5,7.2,66.4
Dhalai,Total,100,46.6,7.4,70
Dhalai,Urban,100,40,9,96.4
North Tripura,Rural,100,48.4,8.3,81.5
North Tripura,Total,100,45.8,8,84.4
North Tripura,Urban,100,34.4,7.1,97
West Garo Hills,Rural,100,49,5.5,56.3
West Garo Hills,Total,100,47.3,5.6,60.6
West Garo Hills,Urban,100,34.1,6.3,93.9
East Garo Hills,Rural,100,48.9,3.6,79.3
East Garo Hills,Total,100,48,3.3,81.7
East Garo Hills,Urban,100,42.3,1.2,96.7
South Garo Hills,Rural,100,51.2,4,63.4
South Garo Hills,Total,100,50.3,3.8,65.7
South Garo Hills,Urban,100,41.9,2.7,87.4
West Khasi Hills,Rural,100,56.1,9.2,40.8
West Khasi Hills,Total,100,55,8.7,46.4
West Khasi Hills,Urban,100,46.8,4.6,90.5
Ribhoi,Rural,100,53.9,5.9,64.1
Ribhoi,Total,100,52.3,5.7,66.4
Ribhoi,Urban,100,34.1,3.1,91.4
East Khasi Hills,Rural,100,52.9,9.3,44.3
East Khasi Hills,Total,100,39,5.9,69.2
East Khasi Hills,Urban,100,23.5,2.1,96.9
Jaintia Hills,Rural,100,46.4,8.4,43.6
Jaintia Hills,Total,100,43.9,7.9,47.7
Jaintia Hills,Urban,100,14,2.1,96.1
Kokrajhar,Rural,100,55,13,24.9
Kokrajhar,Total,100,53,12.4,29.2
Kokrajhar,Urban,100,24.8,4.7,90.1
Dhubri,Rural,100,64.2,17.6,39
Dhubri,Total,100,61.6,17,43.3
Dhubri,Urban,100,39.8,12.2,80.1
Goalpara,Rural,100,60.4,12.6,62.1
Goalpara,Total,100,58.4,11.9,65.5
Goalpara,Urban,100,46.4,8,85
Barpeta,Rural,100,63.2,18.8,69.8
Barpeta,Total,100,60.5,17.7,71.9
Barpeta,Urban,100,33.8,7.4,92.8
Morigaon,Rural,100,62.5,14.8,57.2
Morigaon,Total,100,60.7,14.3,60.1
Morigaon,Urban,100,42.8,9.2,90.3
Nagaon,Rural,100,59.3,13.8,72
Nagaon,Total,100,57.1,12.6,75.3
Nagaon,Urban,100,43.7,5.9,95.2
Sonitpur,Rural,100,58.1,10.2,55
Sonitpur,Total,100,55.4,9.6,59.2
Sonitpur,Urban,100,32.2,4.5,95
Lakhimpur,Rural,100,64.8,9.7,53.7
Lakhimpur,Total,100,61.9,9.2,58
Lakhimpur,Urban,100,37.7,5.5,94.7
Dhemaji,Rural,100,66.2,10,40.3
Dhemaji,Total,100,64.7,9.7,44.8
Dhemaji,Urban,100,48.3,7.2,95.6
Tinsukia,Rural,100,56,5,77.3
Tinsukia,Total,100,51.9,5,81.1
Tinsukia,Urban,100,37.1,5,94.5
Dibrugarh,Rural,100,54.2,5.7,74.2
Dibrugarh,Total,100,49.3,5.4,78.7
Dibrugarh,Urban,100,29.7,4.1,96.4
Sivasagar,Rural,100,60.3,6.1,71.9
Sivasagar,Total,100,57.7,5.9,74.2
Sivasagar,Urban,100,36.4,3.9,93.2
Jorhat,Rural,100,60.9,8.1,58.9
Jorhat,Total,100,55.2,7.2,66.7
Jorhat,Urban,100,35.3,4,94.2
Golaghat,Rural,100,64,7.9,65.1
Golaghat,Total,100,61.5,7.5,68.4
Golaghat,Urban,100,38.7,4.2,97.7
Karbi Anglong,Rural,100,65.1,4.3,48.5
Karbi Anglong,Total,100,63.3,4.2,54.8
Karbi Anglong,Urban,100,52,3.6,94.5
Dima Hasao,Rural,100,62.4,4.5,57.1
Dima Hasao,Total,100,57,4.1,69.4
Dima Hasao,Urban,100,45.2,3.3,96.6
Cachar,Rural,100,56.9,12.2,77.6
Cachar,Total,100,53.2,11.1,81
Cachar,Urban,100,37.2,6.1,95.8
Karimganj,Rural,100,57.6,14.9,83.7
Karimganj,Total,100,55.6,14.3,85
Karimganj,Urban,100,36.1,8.7,97.4
Hailakandi,Rural,100,59.5,16.8,81.9
Hailakandi,Total,100,57.4,16.1,83.1
Hailakandi,Urban,100,30.5,7.6,98.1
Bongaigaon,Rural,100,64.3,12.5,49.2
Bongaigaon,Total,100,58.4,11.1,56.4
